text,label,source
"He represented Sri Lanka at the 2022 Commonwealth Games, where he made his maiden Commonwealth Games appearance.",english,wikipedia
"He competed in the men's singles, men's doubles and mixed doubles categories during the 2022 Commonwealth Games.",english,wikipedia
He represented Sri Lanka at the 2022 Asian Games and competed in the mixed doubles event partnering with Chanithma Sinaly.,english,wikipedia
"He participated at the 2023 Pennant Hills NSW Open which was held in Pennant Hills, New South Wales.",english,wikipedia
He defeated Australia's Jack Hudson in the men's singles final during the 2023 Pennant Hills NSW Open.,english,wikipedia
"Polar bear hunting may refer to: 

Polar bear hunting, an activity where polar bears are hunted for sport
Knockout game or polar-bear hunting, a name used in U.S.",english,wikipedia
"media to refer to a violent ""game"" in which a white passerby is punched without warning",english,wikipedia
He also wrote art-reviews and published a book of anatomy for the artists.,english,wikipedia
"A large number of his paintings were stolen by Nazi Germany in World War II, and never recovered.",english,wikipedia
"== Biography ==
Gerson was born in Warsaw during the November Uprising against the Russians.",english,wikipedia
He enrolled at the School of Fine Arts in Warsaw in 1844 and graduated with honors in 1850.,english,wikipedia
"Petersburg Academy of Arts, and spent two years studying historical painting with Alexey Markov.",english,wikipedia
"He resided in Warsaw for the rest of his life, nevertheless continued to travel abroad, until the turn of the century.",english,wikipedia
It was the first support-group of its kind in Warsaw under the foreign occupation.,english,wikipedia
"He began to teach art in his own workshop in 1865, and became professor at the School of Fine Arts (future Academy of Fine Arts in Warsaw) in 1872.",english,wikipedia
"He trained a generation of future Polish artists there, until his retirement in 1896.",english,wikipedia
Petersburg Fine Arts Academy in 1873 and named a professor in 1878.,english,wikipedia
"He is revered in Poland for his historical paintings of patriotic nature, scenes of country life, and mountain landscapes.",english,wikipedia
"Gerson died in Warsaw, at the age of 70, and is buried in the Evangelical Cemetery of the Augsburg Confession in Warsaw.",english,wikipedia
In 2022 during the Russia-Ukraine war a revolutionary group was reported to have a base located approximately 2km from this village housing 200+ members.,english,wikipedia
"== Geography ==
Yeliseyevskaya is located 51 km southeast of Verkhovazhye (the district's administrative centre) by road.",english,wikipedia
"== Demographics ==
According to the 2013 census, its population was 226.",english,wikipedia
"In 2001, the GAA voted in favour of removing rule 21 despite five of the six county boards of Northern Ireland voting against it.",english,wikipedia
The removal of the rule meant that British security and police forces were now able to join the GAA.,english,wikipedia
"== History ==
In 2015, the Irish Guards moved their barracks from Aldershot, Hampshire to Hounslow in London.",english,wikipedia
"During a tour of Afghanistan, members of the Irish Guards brought GAA jerseys and hurls with them and a suggestion was made about them having their own team.",english,wikipedia
"Following their tour, they applied to the London GAA for membership to be able to play in the London Junior Football Championships.",english,wikipedia
"They also wanted to join so that Fijian born soldiers could play ""a strong physical game that would suit them"".",english,wikipedia
However membership would not be restricted to serving soldiers and would be an open club.,english,wikipedia
The case for the Irish Guards GAA was made by County Waterford-born Major Ken Fox in a presentation to the London GAA.,english,wikipedia
The London GAA chairman Noel O'Sullivan used his casting vote to permit the Irish Guards membership.,english,wikipedia
"In January 2016, Granuaile GAA moved a motion at the next London GAA meeting to expel the Irish Guards GAA from the county board.",english,wikipedia
Kpone-Katamanso is one of the constituencies represented in the Parliament of Ghana.,english,wikipedia
It elects one Member of Parliament (MP) by the first past the post system of election.,english,wikipedia
Kpone-Katamanso is located in the Tema Municipal District of the Greater Accra Region of Ghana.,english,wikipedia
"== Members of Parliament ==


== Elections ==


== See also ==
List of Ghana Parliament constituencies


== References ==",english,wikipedia
"The SIU is responsible for investigating circumstances involving police that have resulted in a death or serious injury, or if a firearm was discharged at a person.",english,wikipedia
"The unit's goal is to ensure that criminal law is applied appropriately to police conduct, as determined through independent investigations, increasing public confidence in the police services.",english,wikipedia
"The director is responsible to the Attorney General of Ontario, and the unit as an ""arm's-length"" agency of the Ministry of the Attorney General.",english,wikipedia
The current director is Joseph Martino; he initially served in an acting capacity from April 2019 prior to his formal appointment in November 2019.,english,wikipedia
"The SIU oversees 47 police services and upwards of 23,000 police officers from municipal, regional, and provincial services.",english,wikipedia
"Ontario is the first province to have such a civilian oversight agency in place, and one of the few jurisdictions worldwide with an independent civilian agency.",english,wikipedia
"(In 2007 Alberta created the Alberta Serious Incident Response Team, and in September, 2012, the Independent Investigations Office was established in British Columbia).",english,wikipedia
"As a result, the SIU has become a model of civilian oversight for other jurisdictions in the light of the international movement towards greater civilian accountability of the police.",english,wikipedia
The legislation serves to strengthen civilian oversight of law enforcement and increase transparency.,english,wikipedia
The SIU are completely independent of the police and have an arms-length relationship with the government.,english,wikipedia
"This means that although the SIU director reports to the provincial attorney general, the decision-making on cases and their day-to-day activities are independent of the government.",english,wikipedia
"== History ==
Before the SIU, police services investigated themselves or in some instances, another police service was assigned to conduct the investigation.",english,wikipedia
