text,label,source
"Vanity and pride are different things, though the words are often used synonymously.",english,gutenberg
"There is so much of gratitude or vanity in almost every attachment, that it is not safe to leave any to itself.",english,gutenberg
"In nine cases out of ten, a woman had better show _more_ affection than she feels.",english,gutenberg
Jane should therefore make the most of every half hour in which she can command his attention.,english,gutenberg
"As yet she cannot even be certain of the degree of her own regard, nor of its reasonableness.",english,gutenberg
Happiness in marriage is entirely a matter of chance.,english,gutenberg
"He began to wish to know more of her; and, as a step towards conversing with her himself, attended to her conversation with others.",english,gutenberg
"Darcy, you must allow me to present this young lady to you as a very desirable partner.",english,gutenberg
"Darcy, with grave propriety, requested to be allowed the honour of her hand, but in vain.",english,gutenberg
Elizabeth was determined; nor did Sir William at all shake her purpose by his attempt at persuasion.,english,gutenberg
"The insipidity, and yet the noise--the nothingness, and yet the self-importance, of all these people!",english,gutenberg
"Her father had been an attorney in Meryton, and had left her four thousand pounds.",english,gutenberg
Philips were now productive of the most interesting intelligence.,english,gutenberg
"Their lodgings were not long a secret, and at length they began to know the officers themselves.",english,gutenberg
"Philips visited them all, and this opened to his nieces a source of felicity unknown before.",english,gutenberg
They could talk of nothing but officers; and Mr.,english,gutenberg
"After listening one morning to their effusions on this subject, Mr.",english,gutenberg
"Bennet, you must not expect such girls to have the sense of their father and mother.",english,gutenberg
"When they get to our age, I dare say they will not think about officers any more than we do.",english,gutenberg
Come as soon as you can on the receipt of      this.,english,gutenberg
My brother and the gentlemen are to dine with the officers.,english,gutenberg
Her hopes were answered; Jane had not been gone long before it rained hard.,english,gutenberg
"Her sisters were uneasy for her, but her mother was delighted.",english,gutenberg
The rain continued the whole evening without intermission; Jane certainly could not come back.,english,gutenberg
"Bennet, more than once, as if the credit of making it rain were all her own.",english,gutenberg
"Till the next morning, however, she was not aware of all the felicity of her contrivance.",english,gutenberg
My kind friends will      not hear of my returning home till I am better.,english,gutenberg
"As long as she stays there, it is all very well.",english,gutenberg
"The distance is nothing, when one has a motive; only three miles.",english,gutenberg
"Elizabeth accepted their company, and the three young ladies set off together.",english,gutenberg
"She was shown into the breakfast parlour, where all but Jane were assembled, and where her appearance created a great deal of surprise.",english,gutenberg
"That she should have walked three miles so early in the day in such dirty weather, and by herself, was almost incredible to Mrs.",english,gutenberg
Hurst and Miss Bingley; and Elizabeth was convinced that they held her in contempt for it.,english,gutenberg
Her inquiries after her sister were not very favourably answered.,english,gutenberg
"Miss Bennet had slept ill, and though up, was very feverish, and not well enough to leave her room.",english,gutenberg
"The advice was followed readily, for the feverish symptoms increased, and her head ached acutely.",english,gutenberg
"When the clock struck three, Elizabeth felt that she must go, and very unwillingly said so.",english,gutenberg
"To the civil inquiries which then poured in, and amongst which she had the pleasure of distinguishing the much superior solicitude of Mr.",english,gutenberg
"Bingley, she could not make a very favourable answer.",english,gutenberg
"Their brother, indeed, was the only one of the party whom she could regard with any complacency.",english,gutenberg
She had very little notice from any but him.,english,gutenberg
"Darcy, her sister scarcely less so; and as for Mr.",english,gutenberg
"When dinner was over, she returned directly to Jane, and Miss Bingley began abusing her as soon as she was out of the room.",english,gutenberg
"Her manners were pronounced to be very bad indeed,--a mixture of pride and impertinence: she had no conversation, no style, no taste, no beauty.",english,gutenberg
"Why must _she_ be scampering about the country, because her sister had a cold?",english,gutenberg
I thought Miss Elizabeth Bennet looked remarkably well when she came into the room this morning.,english,gutenberg
